Scope,Question ID,Question,Answer ID,Answer,Measure 1 Header,Measure 1,Measure 1 Standard Error Header,Measure 1 Standard Error,Measure 1 Status,Measure 2 Header,Measure 2,Measure 2 Standard Error Header,Measure 2 Standard Error,Measure 2 Status,Source Sheet,Source Row,Reference Start,Reference End
1,1,"In the last two weeks, did this business use Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",1,Yes,Estimate,17.9,SE,0.13,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,2,2025-11-17,2026-02-08
1,1,"In the last two weeks, did this business use Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",2,No,Estimate,71.3,SE,0.13,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,3,2025-11-17,2026-02-08
1,1,"In the last two weeks, did this business use Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",3,Do not know,Estimate,10.8,SE,0.09,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,4,2025-11-17,2026-02-08
1,2,"In the last six months, did this business use Artificial Intelligence (AI) in any of the following business functions?",1,"Production of goods (e.g., making or assembling products, construction)",Estimate,,SE,,missing,Estimate - Yes,1.7,SE - Yes,0.03,observed,National Response Estimates,5,2025-11-17,2026-02-08
1,2,"In the last six months, did this business use Artificial Intelligence (AI) in any of the following business functions?",2,"Provision of services, products, or merchandise (e.g., providing services, products, or merchandise to customers)",Estimate,,SE,,missing,Estimate - Yes,6.4,SE - Yes,0.08,observed,National Response Estimates,6,2025-11-17,2026-02-08
1,2,"In the last six months, did this business use Artificial Intelligence (AI) in any of the following business functions?",3,Strategy and business development,Estimate,,SE,,missing,Estimate - Yes,12.4,SE - Yes,0.11,observed,National Response Estimates,7,2025-11-17,2026-02-08
1,2,"In the last six months, did this business use Artificial Intelligence (AI) in any of the following business functions?",4,Finance and accounting,Estimate,,SE,,missing,Estimate - Yes,6.6,SE - Yes,0.08,observed,National Response Estimates,8,2025-11-17,2026-02-08
1,2,"In the last six months, did this business use Artificial Intelligence (AI) in any of the following business functions?",5,Sales and marketing,Estimate,,SE,,missing,Estimate - Yes,14.3,SE - Yes,0.11,observed,National Response Estimates,9,2025-11-17,2026-02-08
1,2,"In the last six months, did this business use Artificial Intelligence (AI) in any of the following business functions?",6,Customer service,Estimate,,SE,,missing,Estimate - Yes,7.6,SE - Yes,0.09,observed,National Response Estimates,10,2025-11-17,2026-02-08
1,2,"In the last six months, did this business use Artificial Intelligence (AI) in any of the following business functions?",7,Research and development,Estimate,,SE,,missing,Estimate - Yes,11.2,SE - Yes,0.1,observed,National Response Estimates,11,2025-11-17,2026-02-08
1,2,"In the last six months, did this business use Artificial Intelligence (AI) in any of the following business functions?",8,Information technology,Estimate,,SE,,missing,Estimate - Yes,11.4,SE - Yes,0.09,observed,National Response Estimates,12,2025-11-17,2026-02-08
1,2,"In the last six months, did this business use Artificial Intelligence (AI) in any of the following business functions?",9,Human resources,Estimate,,SE,,missing,Estimate - Yes,4.2,SE - Yes,0.07,observed,National Response Estimates,13,2025-11-17,2026-02-08
1,2,"In the last six months, did this business use Artificial Intelligence (AI) in any of the following business functions?",10,Public relations and communication,Estimate,,SE,,missing,Estimate - Yes,9.3,SE - Yes,0.08,observed,National Response Estimates,14,2025-11-17,2026-02-08
1,2,"In the last six months, did this business use Artificial Intelligence (AI) in any of the following business functions?",11,Management and administration,Estimate,,SE,,missing,Estimate - Yes,8.1,SE - Yes,0.09,observed,National Response Estimates,15,2025-11-17,2026-02-08
1,2,"In the last six months, did this business use Artificial Intelligence (AI) in any of the following business functions?",12,"Sourcing, supply chains, and purchasing",Estimate,,SE,,missing,Estimate - Yes,2.6,SE - Yes,0.06,observed,National Response Estimates,16,2025-11-17,2026-02-08
1,2,"In the last six months, did this business use Artificial Intelligence (AI) in any of the following business functions?",13,Quality management and control,Estimate,,SE,,missing,Estimate - Yes,2.8,SE - Yes,0.03,observed,National Response Estimates,17,2025-11-17,2026-02-08
1,2,"In the last six months, did this business use Artificial Intelligence (AI) in any of the following business functions?",14,Distribution,Estimate,,SE,,missing,Estimate - Yes,0.9,SE - Yes,0.03,observed,National Response Estimates,18,2025-11-17,2026-02-08
1,2,"In the last six months, did this business use Artificial Intelligence (AI) in any of the following business functions?",15,Legal and compliance,Estimate,,SE,,missing,Estimate - Yes,7.1,SE - Yes,0.09,observed,National Response Estimates,19,2025-11-17,2026-02-08
1,8,"In the last six months, did this business's employees use Artificial Intelligence (AI) to assist in any work-related tasks that support business functions? (e.g. software coding, writing emails, preparing visualizations, summarizing documents, gathering and processing information)",1,Yes,Estimate,22.6,SE,0.11,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,42,2025-11-17,2026-02-08
1,8,"In the last six months, did this business's employees use Artificial Intelligence (AI) to assist in any work-related tasks that support business functions? (e.g. software coding, writing emails, preparing visualizations, summarizing documents, gathering and processing information)",2,No,Estimate,65.8,SE,0.09,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,43,2025-11-17,2026-02-08
1,8,"In the last six months, did this business's employees use Artificial Intelligence (AI) to assist in any work-related tasks that support business functions? (e.g. software coding, writing emails, preparing visualizations, summarizing documents, gathering and processing information)",3,Do not know,Estimate,11.7,SE,0.07,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,44,2025-11-17,2026-02-08
1,9,"In the last six months, did this business's employees use Generative AI to assist in any work-related tasks? (Generative AI is a type of Artificial Intelligence that uses prompts or other inputs to create text, images, music, videos, or code. Some examples of Generative AI include ChatGPT, Gemini, Copilot, Claude, Dall E, MidJourney, and GitHub Copilot.)",1,Yes,Estimate,20.8,SE,0.06,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,45,2025-11-17,2026-02-08
1,9,"In the last six months, did this business's employees use Generative AI to assist in any work-related tasks? (Generative AI is a type of Artificial Intelligence that uses prompts or other inputs to create text, images, music, videos, or code. Some examples of Generative AI include ChatGPT, Gemini, Copilot, Claude, Dall E, MidJourney, and GitHub Copilot.)",2,No,Estimate,66.9,SE,0.11,observed,Estimate - Yes,,SE - Yes,,missing,National Response Estimates,46,2025-11-17,2026-02-08
