Ticker,Component ID,Category,Value,As Of Date,Filing Date,Source URL,Scope,Included in Forward Commitments,Carried Forward,Notes
AMD,contingent_exposure,Contingent Exposure,4100000000.0,2026-03-28,2026-05-06,https://www.sec.gov/Archives/edgar/data/2488/000000248826000076/amd-20260328.htm,Reviewed issuer disclosure; existing ledger scope,False,False,"Unconditional wafer/substrate/component and cloud-service commitments, uncommenced data-center leases, and maximum gross data-center lease guarantees."
AMD,purchase_contractual,Purchase or Contractual Commitments,25662000000.0,2026-03-28,2026-05-06,https://www.sec.gov/Archives/edgar/data/2488/000000248826000076/amd-20260328.htm,Reviewed issuer disclosure; existing ledger scope,True,False,"Unconditional wafer/substrate/component and cloud-service commitments, uncommenced data-center leases, and maximum gross data-center lease guarantees."
AMD,uncommenced_leases,Uncommenced Leases,4400000000.0,2026-03-28,2026-05-06,https://www.sec.gov/Archives/edgar/data/2488/000000248826000076/amd-20260328.htm,Reviewed issuer disclosure; existing ledger scope,True,False,"Unconditional wafer/substrate/component and cloud-service commitments, uncommenced data-center leases, and maximum gross data-center lease guarantees."
AMZN,purchase_contractual,Purchase or Contractual Commitments,130065000000.0,2026-06-30,2026-07-31,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm,"Energy, content, property and equipment, and software",True,False,Unconditional purchase obligations. Other commitments are excluded to preserve the existing metric definition.
AMZN,uncommenced_leases,Uncommenced Leases,137214000000.0,2026-06-30,2026-07-31,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm,Mixed company-wide lease commitments,True,False,Leases not yet commenced; portfolio is not exclusively data centers or AI infrastructure.
ANET,purchase_contractual,Purchase or Contractual Commitments,9700000000.0,2026-06-30,2026-08-05,https://www.sec.gov/Archives/edgar/data/1596532/000159653226000175/anet-20260630.htm,"Strategic components, including integrated circuits, consigned to contract manufacturers",True,False,Non-cancellable purchase commitments not recorded on the balance sheet; $9.4B expected within 12 months and $0.3B thereafter.
GOOG,credit_derivatives,Contingent Exposure,43800000000.0,2026-06-30,2026-07-23,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,Credit-derivative backstops supporting unconsolidated arrangements,False,False,Maximum potential future payments; excluded from Forward Commitments. Separate estimated future backstops subject to finalization and milestone-contingent capital funding are not added here.
GOOG,financial_guarantees,Contingent Exposure,7600000000.0,2026-06-30,2026-07-23,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,Financial guarantees supporting unconsolidated arrangements,False,False,Maximum potential future payments; excluded from Forward Commitments.
GOOG,purchase_contractual,Purchase or Contractual Commitments,811000000000.0,2026-06-30,2026-07-23,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,Primarily technical infrastructure and inventory; also content licenses and energy take-or-pay contracts,True,False,Broad company disclosure. Do not interpret the full amount as AI-only.
GOOG,short_term_uncommenced_lease,Uncommenced Leases,5800000000.0,2026-06-30,2026-07-23,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,Short-term lease; asset scope not separately stated,True,False,Non-cancelable June 2026 lease scheduled to commence in Q3 2026.
GOOG,uncommenced_leases,Uncommenced Leases,85200000000.0,2026-06-30,2026-07-23,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,Primarily data centers,True,False,Leases not yet commenced.
IREN,purchase_contractual,Purchase or Contractual Commitments,6883825000.0,2025-11-02,2025-11-06,https://www.sec.gov/Archives/edgar/data/1878848/000187884825000081/iren-20250930.htm,HPC/AI hardware and infrastructure commitments; later 2026 Dell agreements require separate outstanding-obligation reconciliation,True,True,"Carried forward from the prior reviewed ledger. The March 2026 filing discloses additional Dell purchase agreements, but this release does not add them to the current burden because the filing does not cleanly establish how they interact with or replace the previously disclosed outstanding commitment balance."
META,contingent_cloud_capacity,Contingent Exposure,14720000000.0,2026-06-30,2026-07-30,https://www.sec.gov/Archives/edgar/data/1326801/000162828026050705/meta-20260630.htm,Contingent cloud-capacity purchase obligations,False,False,Maximum stated contingent purchase obligation; excluded from Forward Commitments.
META,purchase_contractual,Purchase or Contractual Commitments,349310000000.0,2026-06-30,2026-07-30,https://www.sec.gov/Archives/edgar/data/1326801/000162828026050705/meta-20260630.htm,Mostly third-party cloud capacity and technical infrastructure; includes Reality Labs consumer hardware,True,False,Broad company disclosure. Do not interpret the full amount as AI-only.
META,july_2026_data_center_leases,Uncommenced Leases,68000000000.0,,2026-07-30,https://www.sec.gov/Archives/edgar/data/1326801/000162828026050705/meta-20260630.htm,Data centers,True,False,Subsequent-event leases entered during July 2026; exact execution date not disclosed in the filing.
META,uncommenced_leases,Uncommenced Leases,278990000000.0,2026-06-30,2026-07-30,https://www.sec.gov/Archives/edgar/data/1326801/000162828026050705/meta-20260630.htm,"Data centers, colocations, and certain network infrastructure",True,False,Leases not yet commenced as of quarter end.
MSFT,construction_commitments,Purchase or Contractual Commitments,34566000000.0,2026-06-30,2026-07-29,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,Construction commitments from the contractual-obligations table,True,False,Kept separate from purchase commitments in the component ledger.
MSFT,purchase_commitments,Purchase or Contractual Commitments,194060000000.0,2026-06-30,2026-07-29,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,Primarily datacenters,True,False,Open purchase orders and take-or-pay contracts not presented as construction commitments.
MSFT,uncommenced_leases,Uncommenced Leases,329100000000.0,2026-06-30,2026-07-29,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,Primarily datacenters,True,False,Additional leases not yet commenced.
NVDA,facility_lease_guarantee,Contingent Exposure,3500000000.0,2026-04-26,2026-05-20,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000052/nvda-20260426.htm,Partner facility lease guarantees,False,False,Maximum gross exposure; excluded from Forward Commitments.
NVDA,cloud_service_commitments,Purchase or Contractual Commitments,30000000000.0,2026-04-26,2026-05-20,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000052/nvda-20260426.htm,Multi-year cloud services for research and development,True,False,Other vendor commitments are excluded to preserve the reviewed historical category definition.
NVDA,manufacturing_supply_capacity,Purchase or Contractual Commitments,119000000000.0,2026-04-26,2026-05-20,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000052/nvda-20260426.htm,Data center-scale production and future product architectures,True,False,"Manufacturing, supply, and capacity commitments."
ORCL,contingent_exposure,Contingent Exposure,3300000000.0,2026-05-31,2026-06-22,https://www.sec.gov/Archives/edgar/data/1341439/000119312526277521/orcl-20260531.htm,Reviewed issuer disclosure; existing ledger scope,False,False,"Future lease commitments, unconditional purchase commitments, and disclosed lease-support exposure. Categories remain separate to reduce overlap risk."
