Source Record ID,Decision Group,Decision,Evidence URL,Decision Note
336,la-hut8-river-bend,merge,https://www.hut8.com/data-centers/river-bend,River Bend utility/site capacity and the 245 MW tenant lease describe one Hut 8 campus.
337,la-hut8-river-bend,merge,https://www.hut8.com/data-centers/river-bend,River Bend utility/site capacity and the 245 MW tenant lease describe one Hut 8 campus.
1302,wi-microsoft-fairwater,merge,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/,Fairwater and the nearby Mount Pleasant phases are one Microsoft campus.
microsoft-mt-pleasant-wi,wi-microsoft-fairwater,merge,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/,Fairwater and the nearby Mount Pleasant phases are one Microsoft campus.
1306,wi-microsoft-fairwater,merge,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/,Braun Road is identified by Microsoft as part of the Mount Pleasant campus expansion.
1307,wi-microsoft-fairwater,merge,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/,The retained source identifies this parcel as an additional Mount Pleasant campus phase.
76,ga-project-sassy,merge,https://atlasdevelopment.org/atlas-named-as-developer-on-project-sassy-in-rome-georgia/,Project Sassy and Dixon/Project Sassy are observations of the same Rome campus.
219,ga-project-sassy,merge,https://atlasdevelopment.org/atlas-named-as-developer-on-project-sassy-in-rome-georgia/,Project Sassy and Dixon/Project Sassy are observations of the same Rome campus.
132,ga-vantage-westlake,merge,https://www.datacenterdynamics.com/en/news/vantage-files-for-two-data-center-campuses-outside-atlanta-georgia/,The Westlake records share the same Plummer Road site and coordinates.
226,ga-vantage-westlake,merge,https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=4256,The Westlake records share the same Plummer Road site and coordinates.
469,nv-tract-peru-vs-south-valley,separate,https://tractcapital.com/news/tract-breaks-ground-on-peru-shelf-technology-park-in-storey-county-nevada/,Peru Shelf is an 810 MW park distinct from South Valley.
467,nv-tract-peru-vs-south-valley,separate,https://www.tract.com/project/south-valley/,South Valley is a separate 1215 MW park southeast of Peru Shelf.
329,ky-riot-commerce-vs-blue-steel,separate,https://www.riotplatforms.com/locations/kentucky/,Riot identifies Commerce Drive and Blue Steel as separate Kentucky facilities.
330,ky-riot-commerce-vs-blue-steel,separate,https://www.riotplatforms.com/locations/kentucky/,Riot identifies Commerce Drive and Blue Steel as separate Kentucky facilities.
25,az-ntt-elliot-vs-pecos,separate,https://www.datacenterdynamics.com/en/news/ntt-acquires-173-acre-planned-data-center-park-in-mesa-arizona-for-300m/,The operating Elliot Road campus and planned Pecos Road park are distinct sites.
26,az-ntt-elliot-vs-pecos,separate,https://www.datacenterdynamics.com/en/news/ntt-acquires-173-acre-planned-data-center-park-in-mesa-arizona-for-300m/,The operating Elliot Road campus and planned Pecos Road park are distinct sites.
1301,wi-microsoft-kenosha-vs-fairwater,separate,https://biztimes.com/microsoft-buys-240-acres-of-land-in-kenosha-for-data-center-development/,The Kenosha proposal is a separate land acquisition from Mount Pleasant Fairwater.
1302,wi-microsoft-kenosha-vs-fairwater,separate,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/,The Kenosha proposal is distinct from the Mount Pleasant Fairwater campus.
amazon-rainier-ms,in-amazon-project-rainier,merge,https://www.aboutamazon.com/news/aws/aws-project-rainier-ai-trainium-chips-compute-cluster,The Gigawatt project-level Rainier record and the New Carlisle Amazon/Anthropic record describe the same retained physical campus claim; the Gigawatt coordinate is not a distinct project location.
312,in-amazon-project-rainier,merge,https://www.aboutamazon.com/news/aws/aws-project-rainier-ai-trainium-chips-compute-cluster,The New Carlisle Amazon/Anthropic campus is the physical-site observation carrying the retained 2.2 GW Rainier claim.
vantage-frontier-tx,tx-vantage-frontier,merge,https://vantage-dc.com/data-center-locations/north-america/shackelford-county-tx,Vantage identifies Frontier as one 1.4 GW ten-building Shackelford County campus.
676,tx-vantage-frontier,merge,https://vantage-dc.com/data-center-locations/north-america/shackelford-county-tx,The FracTracker Frontier record and the Gigawatt Vantage Frontier record describe the same 1.4 GW campus.
verified:project-matador,tx-fermi-project-matador,merge,https://fermiamerica.com/,Fermi identifies Project Matador and its HyperGrid as one private-power and AI campus in Carson County.
682,tx-fermi-project-matador,merge,https://fermiamerica.com/,The FracTracker Hypergrid/Fermi record is the capacity-bearing observation for the curated Project Matador campus.
