Gateway Metro,State,Ocean / Region,Role,Status,Source,Source URL,Boundary,Observation Date,Evidence Grade
Honolulu,HI,Pacific,International cable landing and inter-island backhaul gateway,Operating and planned,Hawaii Broadband Office / FCC records,https://broadband.hawaii.gov/submarine-cable-landing-infrastructure/,Selected gateway evidence; not a complete cable-system count.,2026-08-01,B
Los Angeles,CA,Pacific,Major trans-Pacific landing and interconnection market,Operating and planned,FCC cable-landing records,https://www.fcc.gov/research-reports/guides/submarine-cable-landing-licenses,Selected gateway evidence; no route-capacity total inferred.,2026-08-01,B
Bay Area,CA,Pacific,Trans-Pacific landing and interconnection market,Operating and planned,FCC cable-landing records,https://www.fcc.gov/research-reports/guides/submarine-cable-landing-licenses,Selected gateway evidence; no route-capacity total inferred.,2026-08-01,B
Seattle,WA,Pacific,Pacific Northwest landing and exchange market,Operating and planned,FCC cable-landing records,https://www.fcc.gov/research-reports/guides/submarine-cable-landing-licenses,Selected gateway evidence; no route-capacity total inferred.,2026-08-01,B
Miami,FL,Atlantic / Caribbean / Latin America,International cable gateway and dense exchange market,Operating and planned,FCC cable-landing records,https://www.fcc.gov/research-reports/guides/submarine-cable-landing-licenses,Selected gateway evidence; no route-capacity total inferred.,2026-08-01,B
Jacksonville,FL,Atlantic / Caribbean,International cable gateway,Operating and planned,FCC cable-landing records,https://www.fcc.gov/research-reports/guides/submarine-cable-landing-licenses,Selected gateway evidence; no route-capacity total inferred.,2026-08-01,B
Virginia Beach,VA,Atlantic,Trans-Atlantic cable landing market near Northern Virginia compute,Operating and planned,FCC cable-landing records,https://www.fcc.gov/research-reports/guides/submarine-cable-landing-licenses,Selected gateway evidence; metro differs from Ashburn interconnection core.,2026-08-01,B
New York / New Jersey,MULTI,Atlantic,Trans-Atlantic landing and exchange market,Operating and planned,FCC cable-landing records,https://www.fcc.gov/research-reports/guides/submarine-cable-landing-licenses,Selected multi-state gateway evidence.,2026-08-01,B
Hillsboro / Portland,OR,Pacific,Pacific landing and interconnection market,Operating and planned,FCC cable-landing records,https://www.fcc.gov/research-reports/guides/submarine-cable-landing-licenses,Selected gateway evidence; no route-capacity total inferred.,2026-08-01,B
Nome / Alaska coast,AK,Arctic / regional,Regional subsea service and redundancy; not treated as a major transit hub,Operating and expanding,NTIA / FCC records,https://www.ntia.gov/report/2024/office-internet-connectivity-and-growth-2023-annual-report/implementation-partnering-in-the-field-part-two/states-territories/alaska,Included to distinguish terminal/regional connectivity from dense transit markets.,2026-08-01,B
