domain,title,source_name,old_decision,old_reason,new_decision,new_reason,new_rank_score,new_materiality_score,new_relevance_terms,new_topic_anchor_terms,article_url
market,AI Stocks With Real Revenue Ties From Appian to Figma and Corsair - simplywall.st,simplywall.st,rejected,outside domain lookback window,rejected,outside domain lookback window,36.5,7.0,revenue|stocks,ai,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOZVZRVjd2WUpWYnZnM2VuR3JaS1o2YjRDb2lxWjU4dHB4alJXemppeEY1aTRMcXlpUWtCeUlMZ2ZXTHE2NExreU5EelNQUk12ZjlpOGpGVjRTbWF5NXdYbnhyMG1wYTVxNll2clpkTlJyTjJRYkxSNmp0TjJ3d2VWTVJ5eHRsa3NTQmxDMk55Vkt3UnRic1BqelFWeFJRTUFENk5YRGJMajI4UFhnLXJKVndKS1pLSm1JNVpYeGRoeUVOYlXSAcgBQVVfeXFMT0RBRVAxN3BEdFJVa3lzM1VYSnVVcGlNb2RPWTE1QzU1OFoyREtfSjFwUGNyMWFQWDFlNmhMdTlWc3F4SDZaTkt1MmVLTkJ4cXlZVm9QM0ViWHJic1Q5ZnRodWtmTUROMGhOeC1XTmtHcS1aZUZxYUY3b2d5MG85X1lMZmNRSVg5OFhkLUVpZFJUT1NLMmVtOUswNVBfWnBMTy1qSVVjTzJkaWgtdWpBWGNEWW01LUJQenUyTWZSa3ktcnF5b0txYmE?oc=5
market,"BofA, JPMorgan, Oppenheimer Name Their 3 Favorite AI Stocks, One Has a $255 Target - BeInCrypto",BeInCrypto,rejected,not on automated source allowlist,rejected,not on automated source allowlist,13.0,0.0,stocks,ai,https://news.google.com/rss/articles/CBMiggFBVV95cUxQWXFNeXBVX3l4SFBsWUlnZjBZd2F2TC14WG0yZlJhM2c0VkxhVXJuUU9iMWdCU0xtX3BCeWtYX3cwdUVLTFA0MVNnTW1rMFNYeWotQ2J5anZxZjBxT1dnWk9mamE0UFdTWmp6cVIwemJGcW1DU2hpbW8wYVdQSkYxSVl3?oc=5
market,Datadog (DDOG) Fell 19% After Q2 Beat and Guidance Raise - The AI Customer Cut Spooked the Market - TradingKey,TradingKey,rejected,not on automated source allowlist,rejected,not on automated source allowlist,55.5,17.0,guidance|beat|market,ai,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPS0ZIV2tJaHQtb3JiNlFwc0Q0UEM5MVV1czNqQURSaVBCOEZKcC00MlJjbGt2MlBzOVRvUloxOGN4bWlubk9nTXdCQ0JiSUxobHgyZFhRUkNDaHNYTVVjbnZmbzFRcE1rUVRFc0FzX0ROR09XSGVLcF84SHVIZ3ByT29TTHUzSmxvV3kyaW8xaUdvZ1RYTFVzc3h2VGxXTXpUWDY5Z3c2bEJOVGJSU3RGSVpsR2g0UEVlVE1yQjJTcTJtU3dCdUIza1RqVm8yMnJxN2FHSllUVXg?oc=5
market,AI Firewall Launch And Steady Guidance Might Change The Case For Investing In Check Point (CHKP) - simplywall.st,simplywall.st,rejected,not on automated source allowlist,rejected,not on automated source allowlist,38.0,10.0,guidance,ai,https://news.google.com/rss/articles/CBMi7AFBVV95cUxOZ3paVmNVS1VUSGVYZGRtVnl6SWtJTG01clZSeVRnS3BEUzFNWE5ieS1yclN5X2VIeWRVR3VEVU5aeWxaWm9ScFV4TXVzTy1CNXhRNEZRaXZUNnFzaERNM0dqVEUtSUVsQ21Yc1BtaXJUbUkwQ0c2Wm51NW9UQnVvemlHOEd2ZmRESFZaWnlsdVI2Q2dqMHZQb3k5LTc1YzhwMjYySUxjQkFPOHpkaVNPcmd3QnB1TXhZU2t1X0RKYWphamNVaDZaNDNvMm50YkZwNDhSRXZPc21uMFExYThZbmYySW5jc1pIOFdMQdIB7AFBVV95cUxOZ3paVmNVS1VUSGVYZGRtVnl6SWtJTG01clZSeVRnS3BEUzFNWE5ieS1yclN5X2VIeWRVR3VEVU5aeWxaWm9ScFV4TXVzTy1CNXhRNEZRaXZUNnFzaERNM0dqVEUtSUVsQ21Yc1BtaXJUbUkwQ0c2Wm51NW9UQnVvemlHOEd2ZmRESFZaWnlsdVI2Q2dqMHZQb3k5LTc1YzhwMjYySUxjQkFPOHpkaVNPcmd3QnB1TXhZU2t1X0RKYWphamNVaDZaNDNvMm50YkZwNDhSRXZPc21uMFExYThZbmYySW5jc1pIOFdMQQ?oc=5
market,"FROG Q2 Deep Dive: Cloud Growth, Security Demand, and AI-Driven Software Supply Chains - StockStory",StockStory,rejected,not on automated source allowlist,rejected,not on automated source allowlist,11.0,0.0,,ai|cloud|software,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNNWF2RFRmQ0p5Tk95bGpKZjdlU2wyRV81Z0lIT3FtWHZXeThMbmwwVEhRYXNSS3lZZFBUTURVeG1hUEZBTmFnaTFSMWVFLVgyWEw3S2tHV09jTWJMMUJydDBUUXVPTW1qRmxTUWFObjdWSXpNVmZyTEoySlV4djhCRTlUaGlXQkhnUE84TG5oYzRnZTRRTXdjd3U5Z1VCMmY4TENPdjR1WnlpZmNwaWFmaUpsZFdGWDM5SWdkUHVVczNBc3J1N0lTZ1RrcUVLRHNyYWczYjlyQWI1YnV5YktkNQ?oc=5
market,Software companies are evaporating the terminal risk fears AI models posed: Citi's Fatima Boolani - CNBC,CNBC,rejected,not on automated source allowlist,rejected,no domain relevance term,91.0,0.0,,ai|software,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNM2g0SUdGMTI0R2NKdlVFM2ROaUstOFF6TXdORG1mUUVzZjcwZFpBU1lhSGlmUnVjREs2VVpYbHdqUFBKTTgzSFFtZGpqM0ltVnVBaTdpZFVoRFJfRjZjaUhGTkhlSmhIblA2Z2k0OGtocXR2SkRkNWR0UWc2cl9ibVp2ODVxOFRVQ1NTODFKLUlzUUhaREFvdGlPbktPdjFwcFZLcUxHQlljLVJHRDBhYXhIY1BXczZweTFEc3QzZGxWSGlJY3Y0X0Fyc3dfMVJFTXBsVg?oc=5
market,AI Tech Stocks Investment Guide 2026: Top Picks & Market Outlook - Intellectia AI,Intellectia AI,rejected,not on automated source allowlist,rejected,not on automated source allowlist,32.0,8.0,outlook|stocks|market,ai|tech,https://news.google.com/rss/articles/CBMickFVX3lxTFBIZ0VHaFBsSFZFNldzeVV5eThtR2J3S1BCbGFrQ3lMWFY4RHhmcXIwQmozVTkxcGlHWmlKRS05WHN3Y043RWpoUjA2QkhrdVZYOUhvaGdLQW52NGFkZ0JGS1hFX2kxc3JveFp5bWVaRlA0UQ?oc=5
market,"Stock Market Rallies On Oil, Yields and Big Earnings: Weekly Review - Investor's Business Daily",Investor's Business Daily,rejected,not on automated source allowlist,rejected,no AI/technology market anchor,133.0,10.0,earnings|stock|market,,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOeWFlRWVYa0ZKWkdiLWtzVFlGUjA4T21xQnY0Zy1IMGpSdmRnalVNb0JETDZYRHkxWkRQRFppSkJsZVlLVU42cjJHNTRfUGg0RTREeG8tbzl3NDFQbjA3dUtuTnp5OVVFaW5tMlppdFRxQVpIcENhNGtsUU9FVS1kQ2J5OHMzN1hSdEVqMnJUbFhjUXE0SlJUS3lnb0tSLU8ySmdrUDZPWl9HcjUwTGVIdTVLdWh6QkpVQ3dCSlBiTnMxcHc?oc=5
market,HubSpot Beat on Revenue and Earnings — But Missed on Customers and Got Crushed 20% - TradingKey,TradingKey,rejected,not on automated source allowlist,rejected,not on automated source allowlist,79.0,24.0,earnings|revenue|beat,,https://news.google.com/rss/articles/CBMixwFBVV95cUxQLXZ1RXJMaDZmMlRFSTFSdGVndmhqNWlwZG1Ya21yeVVlV1dKN0FTem9wVC1WblNBanRaSkdpUDF5QW12RDRYQ2JzcFppR19SeXhfaVpsRnJrUmNoWW40ZmJGMVdnSmx2RU9RSVhERXJPUHdMOGlUVF94bzhLSTc4dXd5Rzl2a1VxMXJxUTctMkRTTzFYNWtCSEdhTnlwa01YZHl0YjdUVFAwVzBfMzdfQ2JJTTNGQ0ZuS0ZuWE1KYzJhZ0pzSDhB?oc=5
market,"PTC (PTC) Deepens AI Across Lifecycle Tools, But How Durable Is Its System‑of‑Record Edge? - simplywall.st",simplywall.st,rejected,not on automated source allowlist,rejected,not on automated source allowlist,7.0,0.0,,ai,https://news.google.com/rss/articles/CBMivgFBVV95cUxPTmdyRndxMFlDMkE1aEYzZVB2N2lrZW5lczEwQ1NzV0taWGJMdmdjU2IxSVEwaWNaSWQ3SndnaEZtWmhHVGNJSHprWlVaV1VodlpsRHFwNUF1OGJzWUpWY2hraXczNHBVbFUxYUdyOU1ERnMzYmVXMkNBM1RXRzA3eExsdVV2Yms0TzVDeThvXzNYS3BHVU5YdHozRjZiR2hWYlNkRlNlX3I3c1RfNFRkM1JBeVRoZ1RJdVpadkhn0gHDAUFVX3lxTE85WWxLLW91UXhzdm1HUnlUN1RFRWdSdU9VbGlzV2FTd2tDLWFWbmphOTI0c0VkQkR0UmdhQ09jY0R0STFxTFJPUG1OMnk2Wkh5YkI2R29tS2dzZUcyOEVvTlJtc1V5SHlCeC1WcmpDbFZXaGtUS0h5ZHBTR21qTXVmNTFxRC1CSW9TYUFFcmpQQWNvZ1RfdzJRUDkwYy1ZcXY1WlNiVEJKU1VUME4zN1lFemk1VktUdjBybUxOOUZMT05QSQ?oc=5
