Source Record ID,Decision Group,Decision,Evidence URL,Decision Note
fractracker-source:81572b9de6ee0b70,pa-tecfusions-keystone-connect,merge,https://tecfusions.com/tecfusions-unveils-massive-1400-acre-data-center-project-in-pennsylvania-revitalizing-former-industrial-plant/,Upper Burrell and Keystone Connect describe the same 1400-acre 3 GW campus.
fractracker-source:bf2f1afd5d0f30d9,pa-tecfusions-keystone-connect,merge,https://tecfusions.com/tecfusions-unveils-massive-1400-acre-data-center-project-in-pennsylvania-revitalizing-former-industrial-plant/,Upper Burrell and Keystone Connect describe the same 1400-acre 3 GW campus.
fractracker-source:c265dd730a3295c4,la-hut8-river-bend,merge,https://www.hut8.com/data-centers/river-bend,River Bend utility/site capacity and the 245 MW tenant lease describe one Hut 8 campus.
fractracker-source:39356fe52b736107,la-hut8-river-bend,merge,https://www.hut8.com/data-centers/river-bend,River Bend utility/site capacity and the 245 MW tenant lease describe one Hut 8 campus.
fractracker-source:8e6a5938858f6974,wi-microsoft-fairwater,merge,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/,Fairwater and the nearby Mount Pleasant phases are one Microsoft campus.
microsoft-mt-pleasant-wi,wi-microsoft-fairwater,merge,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/,Fairwater and the nearby Mount Pleasant phases are one Microsoft campus.
fractracker-source:2d0f760fc44ea756,wi-microsoft-fairwater,merge,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/,Braun Road is identified by Microsoft as part of the Mount Pleasant campus expansion.
fractracker-source:52e8d68130effd7d,wi-microsoft-fairwater,merge,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/,The retained source identifies this parcel as an additional Mount Pleasant campus phase.
fractracker-source:d5d3c1d8191c5c38,ga-project-sassy,merge,https://atlasdevelopment.org/atlas-named-as-developer-on-project-sassy-in-rome-georgia/,Project Sassy and Dixon/Project Sassy are observations of the same Rome campus.
fractracker-source:e52ead33511a7f3f,ga-project-sassy,merge,https://atlasdevelopment.org/atlas-named-as-developer-on-project-sassy-in-rome-georgia/,Project Sassy and Dixon/Project Sassy are observations of the same Rome campus.
fractracker-source:420e571e8c5916f7,ga-vantage-westlake,merge,https://www.datacenterdynamics.com/en/news/vantage-files-for-two-data-center-campuses-outside-atlanta-georgia/,The Westlake records share the same Plummer Road site and coordinates.
fractracker-source:93d04d994e274f6a,ga-vantage-westlake,merge,https://apps.dca.ga.gov/DRI/AppSummary.aspx?driid=4256,The Westlake records share the same Plummer Road site and coordinates.
fractracker-source:7b9ebc371909e96a,nv-tract-peru-vs-south-valley,separate,https://tractcapital.com/news/tract-breaks-ground-on-peru-shelf-technology-park-in-storey-county-nevada/,Peru Shelf is an 810 MW park distinct from South Valley.
fractracker-source:4ba51932e6d432d9,nv-tract-peru-vs-south-valley,separate,https://www.tract.com/project/south-valley/,South Valley is a separate 1215 MW park southeast of Peru Shelf.
fractracker-source:131a334df544e59c,ky-riot-commerce-vs-blue-steel,separate,https://www.riotplatforms.com/locations/kentucky/,Riot identifies Commerce Drive and Blue Steel as separate Kentucky facilities.
fractracker-source:08b35303f0d9170b,ky-riot-commerce-vs-blue-steel,separate,https://www.riotplatforms.com/locations/kentucky/,Riot identifies Commerce Drive and Blue Steel as separate Kentucky facilities.
fractracker-source:6be6776220771cad,az-ntt-elliot-vs-pecos,separate,https://www.datacenterdynamics.com/en/news/ntt-acquires-173-acre-planned-data-center-park-in-mesa-arizona-for-300m/,The operating Elliot Road campus and planned Pecos Road park are distinct sites.
fractracker-source:e987211e62b21488,az-ntt-elliot-vs-pecos,separate,https://www.datacenterdynamics.com/en/news/ntt-acquires-173-acre-planned-data-center-park-in-mesa-arizona-for-300m/,The operating Elliot Road campus and planned Pecos Road park are distinct sites.
fractracker-source:1305b741ba7bb23d,wi-microsoft-kenosha-vs-fairwater,separate,https://biztimes.com/microsoft-buys-240-acres-of-land-in-kenosha-for-data-center-development/,The Kenosha proposal is a separate land acquisition from Mount Pleasant Fairwater.
fractracker-source:8e6a5938858f6974,wi-microsoft-kenosha-vs-fairwater,separate,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/,The Kenosha proposal is distinct from the Mount Pleasant Fairwater campus.
amazon-rainier-ms,in-amazon-project-rainier,merge,https://www.aboutamazon.com/news/aws/aws-project-rainier-ai-trainium-chips-compute-cluster,The Gigawatt project-level Rainier record and the New Carlisle Amazon/Anthropic record describe the same retained physical campus claim; the Gigawatt coordinate is not a distinct project location.
fractracker-source:c6f90a4afd114f82,in-amazon-project-rainier,merge,https://www.aboutamazon.com/news/aws/aws-project-rainier-ai-trainium-chips-compute-cluster,The New Carlisle Amazon/Anthropic campus is the physical-site observation carrying the retained 2.2 GW Rainier claim.
vantage-frontier-tx,tx-vantage-frontier,merge,https://vantage-dc.com/data-center-locations/north-america/shackelford-county-tx,Vantage identifies Frontier as one 1.4 GW ten-building Shackelford County campus.
fractracker-source:d6f3d50047358f64,tx-vantage-frontier,merge,https://vantage-dc.com/data-center-locations/north-america/shackelford-county-tx,The FracTracker Frontier record and the Gigawatt Vantage Frontier record describe the same 1.4 GW campus.
verified:project-matador,tx-fermi-project-matador,merge,https://fermiamerica.com/,Fermi identifies Project Matador and its HyperGrid as one private-power and AI campus in Carson County.
fractracker-source:e85883d21f0a4255,tx-fermi-project-matador,merge,https://fermiamerica.com/,The FracTracker Hypergrid/Fermi record is the capacity-bearing observation for the curated Project Matador campus.
