id,name,lon,lat,announced_date,rfs_date,status,confidence,country,region,operator_id,tenant,source_url,sources,mw_source,est_mw_low,est_mw_mid,est_mw_high,notes
crusoe-abilene-tx,Stargate I — Abilene,-99.7331,32.4487,2024-10-01,2026,construction,verified,US,US-TX,crusoe,openai,https://en.wikipedia.org/wiki/Stargate_LLC,curated,announcement,1200.0,1200.0,1200.0,Lead Stargate site; Crusoe-built Oracle-leased; JPMorgan $2.3B loan
stargate-shackelford-tx,Stargate Shackelford County,-99.35,32.7,2025-01-21,,announced,verified,US,US-TX,crusoe,openai,https://en.wikipedia.org/wiki/Stargate_LLC,curated,,,,,Second Stargate site announced alongside Project Stargate launch
stargate-dona-ana-nm,Stargate Doña Ana County,-106.7637,32.3199,2025-09-23,,announced,verified,US,US-NM,crusoe,openai,https://en.wikipedia.org/wiki/Stargate_LLC,curated,,,,,Stargate expansion site; one of five new locations announced Sept 2025
stargate-lordstown-oh,Stargate Lordstown,-80.8156,41.1953,2025-09-23,,announced,verified,US,US-OH,sdc,openai,https://en.wikipedia.org/wiki/Stargate_LLC,curated,,,,,SoftBank-led; partner with SB Energy
stargate-milam-tx,Stargate Milam County,-96.9747,30.7868,2025-09-23,,announced,verified,US,US-TX,crusoe,openai,https://en.wikipedia.org/wiki/Stargate_LLC,curated,,,,,One of five Stargate expansion sites
meta-hyperion-la,Meta Hyperion,-91.7,32.39,2024-12-01,2030,construction,verified,US,US-LA,meta,meta,https://en.wikipedia.org/wiki/Meta_Platforms,curated,announcement,5000.0,5000.0,5000.0,5GW Richland Parish Louisiana campus
meta-prometheus-oh,Meta Prometheus,-82.5,40.2,2024-01-01,,announced,verified,US,US-OH,meta,meta,https://www.datacenterdynamics.com/en/news/meta-prometheus-1gw-ohio,curated,announcement,1000.0,1000.0,1000.0,New Albany Ohio AI campus
meta-richland-parish,Meta Richland Parish,-91.71,32.38,2024-12-04,2028,construction,verified,US,US-LA,meta,meta,https://about.fb.com/news/2024/12/north-louisiana-meta-ai-data-center,curated,announcement,2000.0,2000.0,2000.0,$10B Louisiana site adjacent to Hyperion
amazon-rainier-ms,Amazon Project Rainier,-85.76,38.29,2024-09-01,2025,operational,verified,US,US-IN,amazon,anthropic,https://www.aboutamazon.com/news/aws/aws-anthropic-data-centers,curated,announcement,2200.0,2200.0,2200.0,Anthropic AI training cluster
amazon-us-east-1-va,AWS us-east-1 N. Virginia,-77.45,38.95,2006-08-25,,operational,verified,US,US-VA,amazon,amazon,https://aws.amazon.com/about-aws/global-infrastructure/regions_az,curated,announcement,1500.0,1500.0,1500.0,Largest AWS region
