audit_version,as_of,domain_query,provider,query,lookback_days,qualification_tier,qualification_tier_label,effective_minimum_materiality,topic_anchor_required,source_policy,title,published,age_days,source_name,publisher_url,article_url,source_tier,source_score,source_role,materiality_score,domain_fit_score,rank_score,relevance_terms,topic_anchor_terms,decision,reason,event_id,owner_domain,selected,discovered_via,discovery_source_url,evidence_path,requires_approved_evidence,grounding_version,grounding_status,source_resolved_url,source_text_method,source_text_chars,source_evidence_hash,headline_similarity,source_published_date,source_modified_date,grounding_reason,grounding_error,tier_failures,preground_cluster_representative,preground_cluster_size,evidence_resolution_status,evidence_resolution_attempts,evidence_seed_grounding_reason,evidence_source_name,evidence_resolution_query,evidence_resolution_error,preground_retained_duplicate,discovery_scope
3.9,2026-09-25,connectivity,google_news_rss,(data center fiber OR AI fiber backbone OR cloud fiber network) || (submarine cable cloud OR submarine cable data center OR cable landing station) || (internet exchange data center OR peering facility OR interconnection facility) || (long-haul fiber OR middle mile fiber data center OR route diversity cloud),10,E,Minimum threshold,0.35,False,strict,"Scott Bergs, CEO of Kirkwood IG: Fiber and the AI Data Center Buildout - Data Center Frontier",2026-09-15,10,Data Center Frontier,https://www.datacenterfrontier.com,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPaWFBMDBKLVZvQTdRVk52VWtHRUtWd05kbW5OWHdQektEWHFLV1Z5ek1BQy1GcTNtRFR6WnlDNEtRVjRsTF9oTTNtZzZzVGl0YlZIX1cwZWlhV0hRNWdoZUpqalotLW8xQi1LSEFfSnlRSDNWc3dqVUxjZjlNa0NEcHRhb1IwTUVsS25OOVl0M0VCczZzd3NZdWZ5LWpIdVVmTjk5MEpxMmtfWU1zRW52TTB3MGZDUDBqem5VODUyTTM3UExpdGZCbnJtNHp0YUlq?oc=5,unapproved,0.0,none,7.0,0.0,17.5,fiber,data center|ai|fiber,rejected,outside tier lookback window,,,False,google_news_rss,,discovery_lead_requires_approved_evidence,True,4.6,not_attempted,,,0,,,,,,,A:outside tier lookback window | B:outside tier lookback window | C:outside tier lookback window | D:outside tier lookback window | E:outside tier lookback window,,,,,,,,,,
3.9,2026-09-25,connectivity,google_news_rss,(data center fiber OR AI fiber backbone OR cloud fiber network) || (submarine cable cloud OR submarine cable data center OR cable landing station) || (internet exchange data center OR peering facility OR interconnection facility) || (long-haul fiber OR middle mile fiber data center OR route diversity cloud),7,A,Preferred,7.0,True,strict,"Ziply builds fiber ring for data centers in Quincy, Washington - Fierce Network",2026-09-24,1,Fierce Network,https://www.fierce-network.com,https://news.google.com/rss/articles/CBMimwFBVV95cUxQLVRsbFRrR1Z5aU9MNEFnSXE5S2cxTlNxdDhkcERqTFlvTVJjWjNQcTRVanFiek9XbjRJY0I2N04wZG5tU0IzQ0dpeUJqUV8wcWk5amM3NTF3Sko5NUlQaHg2LXkxVDFHd3gxZ1hDSV9lNnotUmF1UkJKWlAwcGIwWElXb2YxdFMwN2M0TDhxLThWTXItWDgycm9UTQ?oc=5,unapproved,0.0,none,7.0,0.0,23.5,fiber,fiber,discovery_lead_observed,unapproved discovery lead retained for audit only; routine unattended grounding is approved-source-first,auto-2026-09-24-2da1cfb577a7,,False,google_news_rss,,discovery_lead_requires_approved_evidence,True,4.6,not_attempted,,,0,,,,,,,,,,,,,,,,,
3.9,2026-09-25,connectivity,google_news_rss,(data center fiber OR AI fiber backbone OR cloud fiber network) || (submarine cable cloud OR submarine cable data center OR cable landing station) || (internet exchange data center OR peering facility OR interconnection facility) || (long-haul fiber OR middle mile fiber data center OR route diversity cloud),10,C,Expanded window,3.15,True,strict,"Ziply Fiber Completes Redundant Fiber Ring in Quincy, Washington - Broadband Breakfast",2026-09-16,9,Broadband Breakfast,https://broadbandbreakfast.com,https://news.google.com/rss/articles/CBMimwFBVV95cUxOcXh6RWFIdmVtOFhxSmlWNjZGaUt4X3pONkpkUE95SWdMRURuVVNHbDJXVFJ2TzhpQXlEbmZNczQ5dDJkLUVWR3IzR3ozbjl0OEtsbWNCR3JHXzZkSUg5NFRXdjhLTjFuYWhWb2p5WWIwYm8xRmFaTDRlQTBudVNtVTRwUG5OYmFTRnB4VTBEQWtVTk9wemxsY3BLaw?oc=5,unapproved,0.0,none,7.0,0.0,18.5,fiber,fiber,discovery_lead_observed,unapproved discovery lead retained for audit only; routine unattended grounding is approved-source-first,auto-2026-09-16-1642e1d16ca0,,False,google_news_rss,,discovery_lead_requires_approved_evidence,True,4.6,not_attempted,,,0,,,,,,,A:outside tier lookback window | B:outside tier lookback window,,,,,,,,,,
3.9,2026-09-25,connectivity,google_news_rss,(data center fiber OR AI fiber backbone OR cloud fiber network) || (submarine cable cloud OR submarine cable data center OR cable landing station) || (internet exchange data center OR peering facility OR interconnection facility) || (long-haul fiber OR middle mile fiber data center OR route diversity cloud),7,A,Preferred,7.0,True,strict,The old new thing: Cisco and retro tech are back and forming the AI buildout’s backbone - MarketWatch,2026-09-19,6,MarketWatch,https://www.marketwatch.com,https://news.google.com/rss/articles/CBMixwFBVV95cUxNYUFUV0pUQUxkaWs2LVNsN1I1NXluMUpISmp5cTlJeDRwem9Fb3BWNE1XZEFNLUtoWG5RN0stNFhxVlFHbFBfMkx5QVBPTXUtb3poTGs4MVNfcnFtbDdVd1NySWZmdTNuYVFLY1kydDFHVVNZMFZOMmZYY1FBM040R25CY003aWYyaXE1M01NY2hGMVp0bEF6a1I3OEI5V3hKSjByRjFYaWhyek9xWWZ2QmZfSHpqLVJ0YUYwanBLeVByRnpzUEY4?oc=5,unapproved,0.0,none,8.0,0.0,21.0,backbone,ai|backbone,discovery_lead_observed,unapproved discovery lead retained for audit only; routine unattended grounding is approved-source-first,auto-2026-09-19-7c68d5ac629e,,False,google_news_rss,,discovery_lead_requires_approved_evidence,True,4.6,not_attempted,,,0,,,,,,,,,,,,,,,,,
3.9,2026-09-25,connectivity,google_news_rss,(data center fiber OR AI fiber backbone OR cloud fiber network) || (submarine cable cloud OR submarine cable data center OR cable landing station) || (internet exchange data center OR peering facility OR interconnection facility) || (long-haul fiber OR middle mile fiber data center OR route diversity cloud),10,E,Minimum threshold,0.35,False,strict,Fibracem: 12 data center projects in a year and a bet on ISPs - BNamericas.com,2026-09-22,3,BNamericas.com,https://www.bnamericas.com,https://news.google.com/rss/articles/CBMiowFBVV95cUxQV2c1dXhXX3NQaEJiNWJQMk5BendIYm9uR1NLQzF4WUFER3ZDZXplOEpqTDFBTWcyVWl2TllYRkV5TzZ6ZGM2b2NxcVNvWWhja3dQRFV5SklnNU8yMVd6cUs3VjJCWnp6cUxjNWxQSzBWdVM5aTZ3VW1FMXF5RS16cWxvN1M3Qkk2eHc5X3dMSTlBSU5SYlBoT2ZONmxXMWQ3cGxz?oc=5,unapproved,0.0,none,0.0,0.0,7.0,,data center,rejected,no domain relevance term,,,False,google_news_rss,,discovery_lead_requires_approved_evidence,True,4.6,not_attempted,,,0,,,,,,,A:no domain relevance term | B:no domain relevance term | C:no domain relevance term | D:no domain relevance term | E:no domain relevance term,,,,,,,,,,
3.9,2026-09-25,connectivity,google_news_rss,(data center fiber OR AI fiber backbone OR cloud fiber network) || (submarine cable cloud OR submarine cable data center OR cable landing station) || (internet exchange data center OR peering facility OR interconnection facility) || (long-haul fiber OR middle mile fiber data center OR route diversity cloud),7,A,Preferred,7.0,True,strict,C Spire expanding fiber network with new high-capacity corridor between Jackson and Olive Branch - The Greenwood Commonwealth,2026-09-21,4,The Greenwood Commonwealth,https://www.gwcommonwealth.com,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOQzQxMlZoNHEyOFlMSjhYQl92eGFGMzlsRWoxcHBmTTRrcUpzakZNQV9wR3BsaHpXeWtjRVdNM04tQmt3UzgwMGpqNl92dlBWaUh4dlgwdDBWUlpVVU1tYU9tbXU3WklDVk4yMEg5VzFUZnVkbGt3YzZHU0pEWHBZSVlzWnBpTkNtYTdrSE1GX3lTcjJwenBDVHF1ZVB3XzIzNzN6c2hydGIteVlLeHYyUWUyY1BlU1I5eW10WWI4MHZyTzA3bjM3WXEzM2xWcnRSSFE?oc=5,unapproved,0.0,none,7.0,0.0,20.5,fiber,fiber,discovery_lead_observed,unapproved discovery lead retained for audit only; routine unattended grounding is approved-source-first,auto-2026-09-21-e82cb7aacef6,,False,google_news_rss,,discovery_lead_requires_approved_evidence,True,4.6,not_attempted,,,0,,,,,,,,,,,,,,,,,
3.9,2026-09-25,connectivity,google_news_rss,(data center fiber OR AI fiber backbone OR cloud fiber network) || (submarine cable cloud OR submarine cable data center OR cable landing station) || (internet exchange data center OR peering facility OR interconnection facility) || (long-haul fiber OR middle mile fiber data center OR route diversity cloud),10,E,Minimum threshold,0.35,False,strict,"Ciena’s CEO: We’re in the early stages of a multi-year, durable network investment era - Lightwave Online",2026-09-23,2,Lightwave Online,https://www.lightwaveonline.com,https://news.google.com/rss/articles/CBMizgFBVV95cUxPTFA2MG95QjFxUXJSRjd3UTA4U3VjbE5rUUJRaTd2dnV4LTNhWFBSUkNrSW05M1N3blpLTkJJTzBpY3NSanNOWTlCRi1ObE8xanZQQjV2Vjd6R2RNWmJ3amU1QXhPWkRjQ0ZVbERIYWF4TlBWX0Y2Mmx5YS1Bd1ViZG1mS1Iwb1VycFRCWHNtX3BwaTZMVkVweVJwWjZwazlKNGZIM2ZFZm1NNjdZMDJFcW5aMV9GODh5c3FNbEwwbmJ4bi1YMlNobWV5cGFPQQ?oc=5,unapproved,0.0,none,0.0,0.0,8.0,,,rejected,no domain relevance term,,,False,google_news_rss,,discovery_lead_requires_approved_evidence,True,4.6,not_attempted,,,0,,,,,,,A:no domain relevance term | B:no domain relevance term | C:no domain relevance term | D:no domain relevance term | E:no domain relevance term,,,,,,,,,,
3.9,2026-09-25,connectivity,google_news_rss,(data center fiber OR AI fiber backbone OR cloud fiber network) || (submarine cable cloud OR submarine cable data center OR cable landing station) || (internet exchange data center OR peering facility OR interconnection facility) || (long-haul fiber OR middle mile fiber data center OR route diversity cloud),7,A,Preferred,7.0,True,strict,Fiber Optic Cabling Market Forecast to 2035: Data Center and 5G Demand Drive Growth - News and Statistics - IndexBox,2026-09-24,1,IndexBox,https://www.indexbox.io,https://news.google.com/rss/articles/CBMisgFBVV95cUxOcFktNFRqLUNpYlVRTjZEWXlFemlYQTFZMnNlMUt1UzVHMnhNRkNKcy12MndOcnRTYTZYa0xieTBFdXdweDhnYkI2UTlpWWhNZXl2NFcyc04xS2xLMXJ1TmFCX1NUaGtfcy02MDJWb1d3aU0yakxGSHlraWdRMEEtY1p2NTl0S1NvbFNybmxBSlZrbTVEQmhGVVFmU1g3S3kzMkZXYWJ1c3BDYWs4ZUNUTzd3?oc=5,unapproved,0.0,none,7.0,0.0,23.5,fiber,data center|fiber,discovery_lead_observed,unapproved discovery lead retained for audit only; routine unattended grounding is approved-source-first,auto-2026-09-24-e8ec7650b3dd,,False,google_news_rss,,discovery_lead_requires_approved_evidence,True,4.6,not_attempted,,,0,,,,,,,,,,,,,,,,,
3.9,2026-09-25,connectivity,google_news_rss,(data center fiber OR AI fiber backbone OR cloud fiber network) || (submarine cable cloud OR submarine cable data center OR cable landing station) || (internet exchange data center OR peering facility OR interconnection facility) || (long-haul fiber OR middle mile fiber data center OR route diversity cloud),7,A,Preferred,7.0,True,strict,Lightera Secures Investment to Expand Submarine Optical Fiber Manufacturing | Business | Sep 2026 - Photonics Spectra,2026-09-23,2,Photonics Spectra,https://www.photonics.com,https://news.google.com/rss/articles/CBMilwFBVV95cUxPWEEzM0dPY3VRU3JDX3JpWWE2dVlTT2ZnTEh4NS1SZnpvQ0NzMExFcmFQMmxLV3Vxb3RrNlBiQnJwemh0eDd2WmhJTVlxT19kT3dGX0JLZmQ2eGdqaFpaeTVmOFVlZHNMM21nSzZ0ZTZnM3h2ZzlTeHh3bUNqNy1haUR5dFVRSzRMWkQ2Z3c5UVhqVmRwMlNR?oc=5,unapproved,0.0,none,7.0,0.0,22.5,fiber,fiber,discovery_lead_observed,unapproved discovery lead retained for audit only; routine unattended grounding is approved-source-first,auto-2026-09-23-330b45d778cf,,False,google_news_rss,,discovery_lead_requires_approved_evidence,True,4.6,not_attempted,,,0,,,,,,,,,,,,,,,,,
3.9,2026-09-25,connectivity,google_news_rss,(data center fiber OR AI fiber backbone OR cloud fiber network) || (submarine cable cloud OR submarine cable data center OR cable landing station) || (internet exchange data center OR peering facility OR interconnection facility) || (long-haul fiber OR middle mile fiber data center OR route diversity cloud),7,A,Preferred,7.0,True,strict,STL strengthens its Neuralis portfolio with Pre-Terminated Fiber Trunk Assemblies to power hyperscale data centers - PR Newswire,2026-09-24,1,PR Newswire,https://www.prnewswire.com,https://news.google.com/rss/articles/CBMi_wFBVV95cUxQaUJhZWVBWXkyS1o0Sl95c3RoY2JSOW4yb01rUkhYWDE0bGY5VHBlek5wNUE3blNlNEVRNm56UGdwdTI3cTZBV19HdnNJYmh4Zi05ZW9ER3l2SWFTNXJpbzJaMWRLaTBuQmNyTDFaT3lTYkV4bUtfcUEtY0xxVWw1SUNXQU1pOW9VVFZQNS0xRGhqNGRiN1IwWlpEZ1ZWYWJhTjRrQ3oxZVAzNDNrVGlPbV9aYlpqanRqZjRRVlI0bTdzTzN2a2xGSFZoRXY0T285SmJhQXluVE9VZHVoamdHYnNIVUNpWXBMb0ZxWF9yczROY1Y3TUVvUGF0aWxnaEU?oc=5,unapproved,0.0,none,7.0,0.0,23.5,fiber,fiber,discovery_lead_observed,unapproved discovery lead retained for audit only; routine unattended grounding is approved-source-first,auto-2026-09-24-c52ea3fd59be,,False,google_news_rss,,discovery_lead_requires_approved_evidence,True,4.6,not_attempted,,,0,,,,,,,,,,,,,,,,,
