Project ID,Portfolio ID,Recipient,Facility,City,State,Status,Component Layer,AI Relevance,Project Type,Technology,Expected CapEx USD B,CapEx Scope,Direct Funding USD B,Funding Scope,Available Loan USD B,Planned Output,Cleanroom Square Feet,Production Timeline,Source URL,Notes,Evidence Grade,Resilience Grade,Evidence Class,Source,Source Retrieval Date
tsmc-az,tsmc-az,TSMC Arizona Corporation,TSMC Arizona three-fab campus,Phoenix,AZ,Final Award,Leading-edge logic,Core AI,Three greenfield fabs,"4/5nm, 3nm, A16 and 2nm logic",65.0,site portfolio,6.6,site portfolio,5.0,Three leading-edge fabs,,Fab 1 production 2025; Fab 2 expected H2 2027; Fab 3 by end of decade,https://www.nist.gov/chips/tsmc-arizona-phoenix,"Award is milestone-based; capex is a campus portfolio, not completed expenditure.",A,R1,official_award_record,NIST CHIPS for America,2026-07-31
samsung-taylor,samsung-tx,Samsung Austin Semiconductor,Samsung Taylor advanced manufacturing ecosystem,Taylor,TX,Final Award,Leading-edge logic,Core AI,Two logic fabs and R&D fab,2nm logic and future-node R&D,37.0,Texas portfolio,4.745,Texas portfolio,,Two logic fabs plus R&D fab,,Not separately disclosed,https://www.nist.gov/chips/samsung-electronics-texas-taylor,Portfolio includes Taylor and Austin; financial values must be deduplicated by portfolio_id.,A,R1,official_award_record,NIST CHIPS for America,2026-07-31
samsung-austin,samsung-tx,Samsung Austin Semiconductor,Samsung Austin expansion,Austin,TX,Final Award,Logic fabrication,Enabling compute,Existing-facility expansion,FD-SOI logic,,Texas portfolio,,Texas portfolio,,Expanded mature/current-generation capacity,,Not separately disclosed,https://www.nist.gov/chips/samsung-electronics-texas-taylor,Financial values are held on the Taylor portfolio record to prevent double counting.,A,R1,official_award_record,NIST CHIPS for America,2026-07-31
intel-az,intel-us,Intel Corporation,Intel Chandler expansion,Chandler,AZ,Final Award,Leading-edge logic,Core AI,Two new fabs and one modernization,Intel 18A leading-edge logic,90.0,four-state portfolio,3.94,site allocation,,Two new fabs plus modernization,,Through end of decade,https://www.nist.gov/chips/intel-corporation-new-mexico-rio-rancho,Expected capex is Intel four-state portfolio and is counted once by portfolio_id.,A,R1,official_award_record,NIST CHIPS for America,2026-07-31
intel-nm,intel-us,Intel Corporation,Intel Rio Rancho advanced packaging,Rio Rancho,NM,Final Award,Advanced packaging,Core AI,Modernization of two fabs,Advanced packaging,,four-state portfolio,0.5,site allocation,,Largest planned U.S. advanced-packaging facility,,Not separately disclosed,https://www.nist.gov/chips/intel-corporation-new-mexico-rio-rancho,Site allocation is reported by NIST; portfolio capex retained only on one record.,A,R1,official_award_record,NIST CHIPS for America,2026-07-31
intel-oh,intel-us,Intel Corporation,Intel New Albany fab ecosystem,New Albany,OH,Final Award,Leading-edge logic,Core AI,New leading-edge fab,Intel 14A and future nodes,,four-state portfolio,1.5,site allocation,,New leading-edge foundry capacity,,Not separately disclosed,https://www.nist.gov/chips/intel-corporation-new-mexico-rio-rancho,Site award allocation from NIST awards portfolio.,A,R1,official_award_record,NIST CHIPS for America,2026-07-31
intel-or,intel-us,Intel Corporation,Intel Hillsboro technology development,Hillsboro,OR,Final Award,Semiconductor R&D,Enabling compute,Technology-development modernization,High-NA EUV; Intel 18A and future nodes,,four-state portfolio,1.86,site allocation,,Technology development and pilot production,,Not separately disclosed,https://www.nist.gov/chips/intel-corporation-new-mexico-rio-rancho,"R&D/technology-development capacity, not commercial output capacity.",A,R1,official_award_record,NIST CHIPS for America,2026-07-31
micron-ny,micron-us,Micron Technology,Micron Clay megafab – first two fabs,Clay,NY,Final Award,Advanced memory,Core AI,First two fabs of planned four-fab campus,Leading-edge DRAM / HBM-enabling memory,150.0,NY-ID-VA portfolio,6.44,NY-ID-VA portfolio,,Two initial high-volume fabs,1200000.0,Two-decade program,https://www.nist.gov/chips/micron-new-york-clay,Portfolio financial values must be deduplicated; cleanroom value is for first two NY fabs.,A,R1,official_award_record,NIST CHIPS for America,2026-07-31
micron-id,micron-us,Micron Technology,Micron Boise HVM fabs,Boise,ID,Final Award,Advanced memory,Core AI,Two high-volume fabs,Leading-edge DRAM / HBM-enabling memory,,NY-ID-VA portfolio,,NY-ID-VA portfolio,,Two high-volume fabs,1200000.0,Two-decade program,https://www.nist.gov/chips/micron-idaho-boise,Co-located with R&D; financial portfolio values held on Micron NY record.,A,R1,official_award_record,NIST CHIPS for America,2026-07-31
micron-va,micron-va,Micron Technology,Micron Manassas modernization,Manassas,VA,Final Award,Memory fabrication,Broader compute,Expansion and modernization,1-alpha and legacy DRAM/NOR/NAND,,site record,0.275,site allocation,,Modernized legacy-memory capacity,,Not separately disclosed,https://www.nist.gov/chips/micron-virginia-manassas,"Included as broader compute, not classified as a core AI bottleneck.",A,R1,official_award_record,NIST CHIPS for America,2026-07-31
