Ticker,As Of Date,Filing Date,Uncommenced Leases,Purchase or Contractual Commitments,Contingent Exposure,Source URL,Notes
AMD,2026-03-28,2026-05-06,4400000000.0,25662000000.0,4100000000.0,https://www.sec.gov/Archives/edgar/data/2488/000000248826000076/amd-20260328.htm,Component ledger: 3 reviewed components. Scope: Reviewed issuer disclosure; existing ledger scope. Forward Commitments include only uncommenced leases and purchase or contractual commitments; contingent exposure remains separate.
AMZN,2026-06-30,2026-07-31,137214000000.0,130065000000.0,,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm,"Component ledger: 2 reviewed components. Scope: Energy, content, property and equipment, and software | Mixed company-wide lease commitments. Forward Commitments include only uncommenced leases and purchase or contractual commitments; contingent exposure remains separate."
ANET,2026-06-30,2026-08-05,,9700000000.0,,https://www.sec.gov/Archives/edgar/data/1596532/000159653226000175/anet-20260630.htm,"Component ledger: 1 reviewed components. Scope: Strategic components, including integrated circuits, consigned to contract manufacturers. Forward Commitments include only uncommenced leases and purchase or contractual commitments; contingent exposure remains separate."
GOOG,2026-06-30,2026-07-23,91000000000.0,811000000000.0,51400000000.0,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,Component ledger: 5 reviewed components. Scope: Credit-derivative backstops supporting unconsolidated arrangements | Financial guarantees supporting unconsolidated arrangements | Primarily technical infrastructure and inventory; also content licenses and energy take-or-pay contracts | Short-term lease; asset scope not separately stated | Primarily data centers. Forward Commitments include only uncommenced leases and purchase or contractual commitments; contingent exposure remains separate.
IREN,2025-11-02,2025-11-06,,6883825000.0,,https://www.sec.gov/Archives/edgar/data/1878848/000187884825000081/iren-20250930.htm,Component ledger: 1 reviewed components. Scope: HPC/AI hardware and infrastructure commitments; later 2026 Dell agreements require separate outstanding-obligation reconciliation. Carried forward components: purchase_contractual. Forward Commitments include only uncommenced leases and purchase or contractual commitments; contingent exposure remains separate.
META,2026-06-30,2026-07-30,346990000000.0,349310000000.0,14720000000.0,https://www.sec.gov/Archives/edgar/data/1326801/000162828026050705/meta-20260630.htm,"Component ledger: 4 reviewed components. Scope: Contingent cloud-capacity purchase obligations | Data centers | Mostly third-party cloud capacity and technical infrastructure; includes Reality Labs consumer hardware | Data centers, colocations, and certain network infrastructure. Forward Commitments include only uncommenced leases and purchase or contractual commitments; contingent exposure remains separate."
MSFT,2026-06-30,2026-07-29,329100000000.0,228626000000.0,,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,Component ledger: 3 reviewed components. Scope: Construction commitments from the contractual-obligations table | Primarily datacenters. Forward Commitments include only uncommenced leases and purchase or contractual commitments; contingent exposure remains separate.
NVDA,2026-04-26,2026-05-20,,149000000000.0,3500000000.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000052/nvda-20260426.htm,Component ledger: 3 reviewed components. Scope: Multi-year cloud services for research and development | Partner facility lease guarantees | Data center-scale production and future product architectures. Forward Commitments include only uncommenced leases and purchase or contractual commitments; contingent exposure remains separate.
ORCL,2026-05-31,2026-06-22,260000000000.0,19000000000.0,3300000000.0,https://www.sec.gov/Archives/edgar/data/1341439/000119312526277521/orcl-20260531.htm,Component ledger: 3 reviewed components. Scope: Reviewed issuer disclosure; existing ledger scope. Forward Commitments include only uncommenced leases and purchase or contractual commitments; contingent exposure remains separate.
SMCI,2026-03-31,2026-05-11,,10100000000.0,,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000014/smci-20260331.htm,Component ledger: 1 reviewed components. Scope: Reviewed issuer disclosure; existing ledger scope. Forward Commitments include only uncommenced leases and purchase or contractual commitments; contingent exposure remains separate.
