Provider,Product / Scope,Pillar,Metric,Value,Unit,Observation Date,Metric Type,Comparability Group,Source URL,Notes,Evidence Grade,Source Label,Retrieved
Alphabet,Company,Capital burden,2026 CapEx midpoint,180.0,USD billions,2026-02-04,derived_midpoint,capex,https://abc.xyz/investor/events/event-details/2026/2025-Q4-Earnings-Call-2026-Dr_C033hS6/default.aspx,Midpoint of disclosed $175B–$185B range.,A,Alphabet primary disclosure,2026-08-09
Alphabet,Gemini,Compute economics,Serving unit-cost reduction,78.0,percent during 2025,2026-02-04,direct_disclosure,serving_efficiency,https://abc.xyz/investor/events/event-details/2026/2025-Q4-Earnings-Call-2026-Dr_C033hS6/default.aspx,"Company-reported reduction from model optimization, efficiency, and utilization.",A,Alphabet primary disclosure,2026-08-09
OpenAI,Company,Compute economics,Available compute,1.9,gigawatts,2025-12-31,direct_disclosure,serving_capacity,https://openai.com/index/a-business-that-scales-with-the-value-of-intelligence/,Company-reported available compute.,A,OpenAI primary disclosure,2026-08-09
Microsoft,Microsoft Cloud,Cost pressure,Gross margin,66.0,percent,2026-03-31,direct_disclosure,margin,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q3,"Down year over year due to AI infrastructure and usage, partly offset by efficiency gains.",A,Microsoft primary disclosure,2026-08-05
Alphabet,Gemini Enterprise,Enterprise adoption,Fortune 100 using product,90.0,percent,2026-06-30,direct_disclosure,enterprise_adoption,https://abc.xyz/investor/events/event-details/2026/2026-Q2-Earnings-Call-2026-GgTAq7Is0z/default.aspx,Nearly 90%; retained at disclosed floor.,A,Alphabet primary disclosure,2026-08-09
Alphabet,Gemini Enterprise,Paid demand,Paid seats,8.0,million seats,2025-12-31,direct_disclosure,enterprise_paid,https://abc.xyz/investor/events/event-details/2026/2025-Q4-Earnings-Call-2026-Dr_C033hS6/default.aspx,Paid seats disclosed four months after launch.,A,Alphabet primary disclosure,2026-08-09
Microsoft,Microsoft 365 Copilot,Paid demand,Paid seats,20.0,million seats,2026-03-31,direct_disclosure,enterprise_paid,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q3,Paid seats; not unique organizations or active users.,A,Microsoft primary disclosure,2026-08-05
OpenAI,ChatGPT,Paid demand,Consumer subscribers,50.0,million subscribers,2026-03-31,direct_disclosure,consumer_paid,https://openai.com/index/accelerating-the-next-phase-ai/,More than 50 million; retained at disclosed floor.,A,OpenAI primary disclosure,2026-08-09
OpenAI,ChatGPT,Paid demand,Implied subscriber share,5.555555555555555,percent of weekly users,2026-03-31,derived_ratio,consumer_conversion,https://openai.com/index/accelerating-the-next-phase-ai/,Rough floor-to-floor ratio; WAU and subscribers are not a cohort conversion study.,B,OpenAI primary disclosure,2026-08-05
OpenAI,ChatGPT for Work,Paid demand,Paying business users,9.0,million users,2026-02-27,direct_disclosure,enterprise_paid,https://openai.com/index/scaling-ai-for-everyone/,"Paying business users, not business organizations.",A,OpenAI primary disclosure,2026-08-05
Alphabet,Gemini App,Reach,Monthly active users,750.0,million users,2025-12-31,direct_disclosure,consumer_reach,https://abc.xyz/investor/events/event-details/2026/2025-Q4-Earnings-Call-2026-Dr_C033hS6/default.aspx,More than 750 million; retained at disclosed floor.,A,Alphabet primary disclosure,2026-08-09
OpenAI,ChatGPT,Reach,Weekly active users,900.0,million users,2026-03-31,direct_disclosure,consumer_reach,https://openai.com/index/accelerating-the-next-phase-ai/,More than 900 million; retained at disclosed floor.,A,OpenAI primary disclosure,2026-08-09
Alphabet,Google Cloud,Revenue realization,Backlog,514.0,USD billions,2026-06-30,direct_disclosure,backlog,https://abc.xyz/investor/events/event-details/2026/2026-Q2-Earnings-Call-2026-GgTAq7Is0z/default.aspx,Cloud backlog is AI-influenced but not pure AI revenue.,A,Alphabet primary disclosure,2026-08-09
Alphabet,Google Cloud,Revenue realization,Revenue growth,82.0,percent year over year,2026-06-30,direct_disclosure,revenue_growth,https://abc.xyz/investor/events/event-details/2026/2026-Q2-Earnings-Call-2026-GgTAq7Is0z/default.aspx,Cloud growth powered by AI infrastructure and AI-solution demand; not pure AI revenue.,A,Alphabet primary disclosure,2026-08-09
Microsoft,AI business,Revenue realization,Annual revenue run rate,37.0,USD billions ARR,2026-03-31,direct_disclosure,revenue,https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast,AI business ARR; not total Microsoft Cloud revenue.,A,Microsoft primary disclosure,2026-08-05
Microsoft,AI business,Revenue realization,Annual revenue run-rate growth,123.0,percent year over year,2026-03-31,direct_disclosure,revenue_growth,https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast,Year-over-year growth in AI-business ARR.,A,Microsoft primary disclosure,2026-08-05
OpenAI,ChatGPT,Revenue realization,Ads pilot annualized revenue run rate,0.1,USD billions ARR,2026-03-31,direct_disclosure,revenue,https://openai.com/index/accelerating-the-next-phase-ai/,More than $100 million ARR in under six weeks; retained at disclosed floor.,A,OpenAI primary disclosure,2026-08-05
OpenAI,Company,Revenue realization,Annualized revenue run rate,20.0,USD billions ARR,2025-12-31,direct_disclosure,revenue,https://openai.com/index/a-business-that-scales-with-the-value-of-intelligence/,$20B+ ARR for 2025; retained at disclosed floor.,A,OpenAI primary disclosure,2026-08-09
OpenAI,Company,Revenue realization,Enterprise share of revenue,40.0,percent,2026-03-31,direct_disclosure,revenue_mix,https://openai.com/index/accelerating-the-next-phase-ai/,Company disclosure: enterprise more than 40% of revenue.,A,OpenAI primary disclosure,2026-08-05
