audit_version,as_of,domain_query,provider,query,lookback_days,title,published,age_days,source_name,publisher_url,article_url,source_tier,source_score,source_role,materiality_score,domain_fit_score,rank_score,relevance_terms,decision,reason,event_id,owner_domain,selected
1.0,2026-08-09,grid_storage,google_news_rss,(transmission project OR interconnection queue OR power grid OR battery storage OR transformer shortage OR curtailment),10,Polaris Renewable Energy Q2 Earnings Call Highlights - TradingView,2026-08-01,8,TradingView,https://www.tradingview.com,https://news.google.com/rss/articles/CBMiswFBVV95cUxPWTU5emkzZTlEVkwwdkk3c1dWYmRMd21EdUdVemlPTmJMRUw5SERjTTdGZGRmWWg5dkxPd3JSY21Ec0VuMEN5REdNYUV6MURpN3dJQm4wMmhISFlYSGRCWGkyWFZ5TWVvTXp0NWlCU3NwTXpFZGRFLWhPX2w4dG1yTnF2V09NTVZFZnpSX2hkdzQxS0ZmWlhVVFhTWU4yUTVNQmhsbUxqMDFnd3Zxc0hjTjdZWQ?oc=5,unapproved,0.0,none,6.0,0.0,6.0,,rejected,not on automated source allowlist,,,False
1.0,2026-08-09,grid_storage,google_news_rss,(transmission project OR interconnection queue OR power grid OR battery storage OR transformer shortage OR curtailment),10,"ContourGlobal Begins Construction of 131 MWp Solar, 90 MW/360 MWh BESS Hybrid Project in Chile - SolarQuarter",2026-08-05,4,SolarQuarter,https://solarquarter.com,https://news.google.com/rss/articles/CBMiygFBVV95cUxPUUFPUTQ3bGdhMmNocXo1ckxIdnZDVFg5ZUJCNFIwd05qZVhMTzhxV2JMakswRERwcVczZVRBS2VZeDlIcUtTZ1dKS3BqMnU2OF85di1saEFNaFRVNzNHblJ2bXZmSTRzdTFlQS1jZVJ0alRRRGpGNm5OZ2ZjYl9TVW92Rl9pVDZ4VGR0ZWZnSVplWS16SVJCdEVGcVJLWUwtR2d2VUdTWjFKekIwNFlldzlMQjU0M05OTnNYenBTUWJDTVBaeV9aN2F3?oc=5,unapproved,0.0,none,6.0,0.0,6.0,,rejected,not on automated source allowlist,,,False
1.0,2026-08-09,grid_storage,google_news_rss,(transmission project OR interconnection queue OR power grid OR battery storage OR transformer shortage OR curtailment),10,BC Hydro to buy natural gas power plant to help prevent province-wide electricity shortfalls - Daily Hive,2026-08-05,4,Daily Hive,https://dailyhive.com,https://news.google.com/rss/articles/CBMikgFBVV95cUxNb25rYUt5TVpsWFlEbnFLQjhvMGczMFdZeEhrcnhpdmw3NFFRZmVUeTQ5ZllMdm82Q2M1UV9LSjNRYjNIRjNveXlXOE9ndkxyMjJTV21zSzlTVnNoT3I2VnNXOFhYVFFVQncyR1VzZWY2d2ZnT2t4eDhVX0JucFBtbXdlOHVkcE41QmZkYmtGa1VYZw?oc=5,unapproved,0.0,none,0.0,0.0,0.0,,rejected,not on automated source allowlist,,,False
1.0,2026-08-09,grid_storage,google_news_rss,(transmission project OR interconnection queue OR power grid OR battery storage OR transformer shortage OR curtailment),10,Draft NEP 2026: Building an Adaptive Electricity System - T&D India,2026-08-04,5,T&D India,https://www.tndindia.com,https://news.google.com/rss/articles/CBMihwFBVV95cUxObWlkTVVrU1VYSjN1bkhoRkxfWTVTdktxU2ctcUFvUVJwX2ZOLXdMV1Q3MlVxSHZOa3ByaVlUbHFvd3l6MUhqRm5aMHdvVk9kSFZ4cUx1SXJNOElOQ3F5dHBocmNYUFFMQjFYaTVRWkRVVm9PdFJhN3ZkYUJiMmF5eldMLWFSX3PSAYwBQVVfeXFMUFFuSExBejJBaWl1RVl3SzN4REJKbEZlZzUyOWVrcWNOYzVjblVSaU9QX0RBTEVHbjVaTENyQl9RSkp5NWFQSDRzNVJjQmhfcS1TdGhhLXRSYXFIazJmTEFsWl8tRDdsRnJSV0JPdnpSLVU5SGhRQlFMc3VSR1dZQ3BlRUdQOThUSGYyUlc?oc=5,unapproved,0.0,none,0.0,0.0,0.0,,rejected,not on automated source allowlist,,,False
1.0,2026-08-09,grid_storage,google_news_rss,(transmission project OR interconnection queue OR power grid OR battery storage OR transformer shortage OR curtailment),10,Editorial Analysis: Transmission Bottlenecks in India’s Renewable Sector - INSIGHTS IAS,2026-08-04,5,INSIGHTS IAS,https://www.insightsonindia.com,https://news.google.com/rss/articles/CBMitAFBVV95cUxNY2FOTURnUjdYaVViUXI0aDdkNmp4SV9sMUM2aDVtc192U251TGcwMG8yZU1rSEZsMlhMdXBDMVN4c3h1aVd0RXhFSVltV21rUmtlYmV5UURlay0xSWo5WXRGUDVDQS1FcjdTMjFVRUd3VXh2eDUxVkZoWUV1ZkNVcXdjOGJSYmE4eWJvU003MTMxZnZvTmJrTkxJellscU9DZWRxUm44b2ZSVFlsT1RSMWdmMXQ?oc=5,unapproved,0.0,none,0.0,4.0,4.0,transmission,rejected,not on automated source allowlist,,,False
1.0,2026-08-09,compute,google_news_rss,(AI chips OR semiconductor manufacturing OR chip export controls OR semiconductor fab OR GPU supply),10,"SpaceX, Tesla to initially spend $16.8 billion on Terafab chip plant in Texas - Reuters",2026-08-06,3,Reuters,https://www.reuters.com,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNb2UySGFrYmtuX0Q2QkFMUl96LXB1YnhSd3l3TzdLaXZRZ1JwdFl2MjdNUjk4bFlEN1piVUV5dG9nWW5QT2Vra091T2gtbnc2RHVnekdNa0JNTy1WV1pGS3B6RzdJM0t5a0RTcXdpdDVKRHp3NHdpSkw0VnVLRVA3Y3BBdHZVTGV4dEkzSmppQnVsZ3ZlaFlBYVVOMlJfNTJfZlVDajVxaHpZVV80WjdkQ1lsQk5sVlVlZW1fNnBVWkl2amVMcmY5UA?oc=5,preferred,96.0,secondary,0.0,8.0,104.0,chip|fab,rejected,"no material action, result, release, or status change",,,False
1.0,2026-08-09,compute,google_news_rss,(AI chips OR semiconductor manufacturing OR chip export controls OR semiconductor fab OR GPU supply),10,7 Best-Performing Semiconductor Stocks for August 2026 - NerdWallet,2026-08-03,6,NerdWallet,https://www.nerdwallet.com,https://news.google.com/rss/articles/CBMid0FVX3lxTE5DcnBsYjFUWnVXMUpGeFdXcnBtd2Q5YjFEcW9OUmZXcjU4Y1Vnbk5zME5CVklCc1JoX182SVlCRFE2WmhRMDB6VjZQeGdwRkRhdW9zUjE4dmlpbnB2dVNGXzJXNFVYVGxwZXJJbm5WWExyZVR6QnBB?oc=5,unapproved,0.0,none,0.0,4.0,4.0,semiconductor,rejected,not on automated source allowlist,,,False
1.0,2026-08-09,compute,google_news_rss,(AI chips OR semiconductor manufacturing OR chip export controls OR semiconductor fab OR GPU supply),10,Entegris Q2 Beats at $883M: AI Chip Demand Reaches the Materials Layer - Tech Times,2026-08-04,5,Tech Times,https://www.techtimes.com,https://news.google.com/rss/articles/CBMitwFBVV95cUxPeEhyT2J6RVI4M1dNaDhHd3RUZFpYYWlqVFo3dVA1ZEYzQzN3Yi03QVg2c1N3MXlMeU40Z0dGeVNhSHlqbmhXeFhISjI1UkFWYzRHWWs5bTRfUEFodlc4bHMxUkVWTkdRd1lYVlZPSkpoNGVndFlUSTZwR2NvandYU1JtUVEwODB5ZUl2V1h6Szk5eXo2QWQ1MFJVbzZYVlNPZXNrWjMtMmxzSkhlc2w5VDU3dE13TW8?oc=5,unapproved,0.0,none,0.0,4.0,4.0,chip,rejected,not on automated source allowlist,,,False
1.0,2026-08-09,compute,google_news_rss,(AI chips OR semiconductor manufacturing OR chip export controls OR semiconductor fab OR GPU supply),10,"AI Rally Splits Sharply: AMD Plunges 7.8%, Dragging Down the Philadelphia Semiconductor Index, While Nvidia Extends Winning Streak to Five Days with Market Cap Nearing $5.8 Trillion - finance.biggo.com",2026-08-05,4,finance.biggo.com,https://finance.biggo.com,https://news.google.com/rss/articles/CBMidkFVX3lxTFBGTm1iNHM1d09fZ3BXWV80djJvVW0wSkFQUUZ1RXp6M2QyNXBaODNyMGNFQVF0d0p4Mm9uTGx6SVJjdFZUaHgwMjVmUTVyMTBSMlRFSEUtX3Zuc21SbEdIaVRHRi10aUluRW5fMlJmcnhvQy1hZ2c?oc=5,unapproved,0.0,none,0.0,4.0,4.0,semiconductor,rejected,not on automated source allowlist,,,False
1.0,2026-08-09,water,google_news_rss,(data center water OR wastewater infrastructure OR industrial water permit OR drought water supply),14,"Data centers use lots of water and power, but Texas officials don’t know exactly how much - Houston Public Media",2026-08-05,4,Houston Public Media,https://www.houstonpublicmedia.org,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOZktlZ1hsNkQtYnhkcnFnd2lQNUFCekdyZnF5YmlfUWZWYjR2RWFDek1OVllJR1ZQaVFEZUR4Q3VPZHg2SkxORVdSa2JxcDVTdGJQN0Zkd3ZjNU9fQ05tODM3ZXZtbGtOTWNtenF5azRNNlpzdkxFOFA3TUh4OHI1T0pGMlRFQ2JzSkM4b2M3VU0ySmNpQUFFczVXalhzRU1heXdvZ1ZqVzA3Mnc5ZzJVQjJuYUxqS3ZsMzVjWFJZUmN6WEh3QnV4em81c0RtNF9zUXc0ZzFHVdIB3wFBVV95cUxQbDJ3OTlsUDhpNHBHb2Z4NFgyOHhPZTVOQW5HMHRiN2dXaU9wWnRYU1N4Mkx4WDBWSUM2TERYNVF1VWtmUXdSaFRkTjEtanlnazlibUc4ZnZBdDBNMWtVZjBFTnJKS3ROSExMWXdPQUJCLWpSRXl6ZjluQV90OTRZWkVOVE5POTVDWW9SQTItcmFlYXVlQ3pza2U2M2Eyc2xPQ2VyX01CQ2VpLTJhd0ZSNU9BU2VmN1NXUmVJRXEtSWpQUm9HaVhJSEFxaW1mN0xnMXcxaktJRU02YVFEd29j?oc=5,unapproved,0.0,none,0.0,4.0,4.0,water,rejected,not on automated source allowlist,,,False
1.0,2026-08-09,water,google_news_rss,(data center water OR wastewater infrastructure OR industrial water permit OR drought water supply),14,"Water supply concerns remain top hindrance for AI data centers, says FAU expert - WLRN",2026-07-30,10,WLRN,https://www.wlrn.org,https://news.google.com/rss/articles/CBMilwFBVV95cUxPWGJGNjRxejFPdHE4X1kwX2U2WFRqVy0xeVJSYUlZaGN2ZzNKTDViaWJnS3BibWhhOHBhdU5pTW5KVWlIZUpLMHh4dUxQdTZpbEMzeEhsX3lMUWhsUE5Da2FCa1Z3OE03ekNsU3FHSkRTSUk5NTNQRkFwSHRwSnE4dENwSHVfQXFYcktIbUZoX1FScXd6MjNz?oc=5,unapproved,0.0,none,0.0,4.0,4.0,water,rejected,not on automated source allowlist,,,False
