O*NET-SOC Code,Occupation,SOC Major Code,Major Occupational Group,Human Direct LLM Exposure,Human Blended LLM Exposure,Human LLM + Software Exposure,GPT-4 Direct LLM Exposure,GPT-4 Blended LLM Exposure,GPT-4 LLM + Software Exposure,Benchmark Vintage,Source,Source URL,Attribution boundary
11-1011.00,Chief Executives,11,Management,18.0,35.0,52.0,10.0,46.0,82.0,2023 task rubric,"Eloundou, Manning, Mishkin, and Rock — GPTs are GPTs",https://github.com/openai/GPTs-are-GPTs,"Static theoretical task exposure to LLM capabilities and LLM-powered software; not observed adoption, automation, displacement, employment change, or a forecast."
11-1011.03,Chief Sustainability Officers,11,Management,5.55555555555555,38.88888888888888,72.22222222222221,16.66666666666666,55.55555555555556,94.44444444444444,2023 task rubric,"Eloundou, Manning, Mishkin, and Rock — GPTs are GPTs",https://github.com/openai/GPTs-are-GPTs,"Static theoretical task exposure to LLM capabilities and LLM-powered software; not observed adoption, automation, displacement, employment change, or a forecast."
11-1021.00,General and Operations Managers,11,Management,11.53846153846153,38.46153846153846,65.38461538461539,0.0,48.07692307692308,96.15384615384616,2023 task rubric,"Eloundou, Manning, Mishkin, and Rock — GPTs are GPTs",https://github.com/openai/GPTs-are-GPTs,"Static theoretical task exposure to LLM capabilities and LLM-powered software; not observed adoption, automation, displacement, employment change, or a forecast."
11-1031.00,Legislators,11,Management,26.66666666666666,51.66666666666666,76.66666666666666,3.33333333333333,40.0,76.66666666666666,2023 task rubric,"Eloundou, Manning, Mishkin, and Rock — GPTs are GPTs",https://github.com/openai/GPTs-are-GPTs,"Static theoretical task exposure to LLM capabilities and LLM-powered software; not observed adoption, automation, displacement, employment change, or a forecast."
11-2011.00,Advertising and Promotions Managers,11,Management,25.581395348837212,54.65116279069767,83.72093023255813,0.0,47.67441860465116,95.34883720930232,2023 task rubric,"Eloundou, Manning, Mishkin, and Rock — GPTs are GPTs",https://github.com/openai/GPTs-are-GPTs,"Static theoretical task exposure to LLM capabilities and LLM-powered software; not observed adoption, automation, displacement, employment change, or a forecast."
11-2021.00,Marketing Managers,11,Management,21.875,57.8125,93.75,6.25,50.0,93.75,2023 task rubric,"Eloundou, Manning, Mishkin, and Rock — GPTs are GPTs",https://github.com/openai/GPTs-are-GPTs,"Static theoretical task exposure to LLM capabilities and LLM-powered software; not observed adoption, automation, displacement, employment change, or a forecast."
11-2022.00,Sales Managers,11,Management,10.0,48.33333333333333,86.66666666666667,0.0,45.0,90.0,2023 task rubric,"Eloundou, Manning, Mishkin, and Rock — GPTs are GPTs",https://github.com/openai/GPTs-are-GPTs,"Static theoretical task exposure to LLM capabilities and LLM-powered software; not observed adoption, automation, displacement, employment change, or a forecast."
11-2032.00,Public Relations Managers,11,Management,25.0,57.50000000000001,90.0,15.0,55.00000000000001,95.0,2023 task rubric,"Eloundou, Manning, Mishkin, and Rock — GPTs are GPTs",https://github.com/openai/GPTs-are-GPTs,"Static theoretical task exposure to LLM capabilities and LLM-powered software; not observed adoption, automation, displacement, employment change, or a forecast."
11-2033.00,Fundraising Managers,11,Management,25.0,50.0,75.0,12.5,56.25,100.0,2023 task rubric,"Eloundou, Manning, Mishkin, and Rock — GPTs are GPTs",https://github.com/openai/GPTs-are-GPTs,"Static theoretical task exposure to LLM capabilities and LLM-powered software; not observed adoption, automation, displacement, employment change, or a forecast."
11-3012.00,Administrative Services Managers,11,Management,26.08695652173913,50.0,73.91304347826086,8.695652173913041,39.13043478260869,69.56521739130434,2023 task rubric,"Eloundou, Manning, Mishkin, and Rock — GPTs are GPTs",https://github.com/openai/GPTs-are-GPTs,"Static theoretical task exposure to LLM capabilities and LLM-powered software; not observed adoption, automation, displacement, employment change, or a forecast."
